SRC,Name,S1,S2,S3,DST
0,root.backbone.0.0,115.04000091552734,302.168701171875,21.71405792236328,1
1,root.backbone.1.conv.0,21.71405792236328,39.210601806640625,20.309255599975586,2
2,root.backbone.1.conv.1,20.309255599975586,61.89909744262695,14.817662239074707,3
3,root.backbone.2.conv.0,14.817662239074707,109.42945098876953,20.61914825439453,4
4,root.backbone.2.conv.1,20.61914825439453,30.855804443359375,20.876890182495117,5
5,root.backbone.2.conv.2,20.876890182495117,138.75616455078125,16.412145614624023,6
6,root.backbone.3.conv.0,16.412145614624023,325.0977478027344,21.166667938232422,7
7,root.backbone.3.conv.1,21.166667938232422,21.282094955444336,21.260929107666016,8
8,root.backbone.3.conv.2,21.260929107666016,107.06634521484375,11.611381530761719,9
9,root.backbone.4.conv.0,11.611381530761719,304.67584228515625,21.166667938232422,10
10,root.backbone.4.conv.1,21.166667938232422,45.17685317993164,20.94721031188965,11
11,root.backbone.4.conv.2,20.94721031188965,230.10760498046875,18.07628059387207,12
12,root.backbone.5.conv.0,18.07628059387207,609.3670654296875,21.85309600830078,13
13,root.backbone.5.conv.1,21.85309600830078,7.311442852020264,20.967695236206055,14
14,root.backbone.5.conv.2,20.967695236206055,200.84466552734375,13.077320098876953,15
15,root.backbone.6.conv.0,13.077320098876953,558.6502685546875,21.95379066467285,16
16,root.backbone.6.conv.1,21.95379066467285,30.33854103088379,21.307804107666016,17
17,root.backbone.6.conv.2,21.307804107666016,121.91160583496094,11.052773475646973,18
18,root.backbone.7.conv.0,11.052773475646973,528.3344116210938,23.072237014770508,19
19,root.backbone.7.conv.1,23.072237014770508,6.735976219177246,21.134075164794922,20
20,root.backbone.7.conv.2,21.134075164794922,216.0773468017578,20.795894622802734,21
21,root.backbone.8.conv.0,20.795894622802734,1275.0968017578125,21.549911499023438,22
22,root.backbone.8.conv.1,21.549911499023438,24.79644775390625,21.50837516784668,23
23,root.backbone.8.conv.2,21.50837516784668,216.858642578125,16.049524307250977,24
24,root.backbone.9.conv.0,16.049524307250977,886.7504272460938,23.640283584594727,25
25,root.backbone.9.conv.1,23.640283584594727,13.34779167175293,21.42323112487793,26
26,root.backbone.9.conv.2,21.42323112487793,120.35974884033203,13.169608116149902,27
27,root.backbone.10.conv.0,13.169608116149902,596.046142578125,21.166667938232422,28
28,root.backbone.10.conv.1,21.166667938232422,8.405843734741211,21.116008758544922,29
29,root.backbone.10.conv.2,21.116008758544922,158.09915161132812,11.582368850708008,30
30,root.backbone.11.conv.0,11.582368850708008,732.32275390625,25.172748565673828,31
31,root.backbone.11.conv.1,25.172748565673828,36.3669319152832,21.43008804321289,32
32,root.backbone.11.conv.2,21.43008804321289,307.8768005371094,24.769983291625977,33
33,root.backbone.12.conv.0,24.769983291625977,915.937255859375,21.537519454956055,34
34,root.backbone.12.conv.1,21.537519454956055,9.156306266784668,22.24408531188965,35
35,root.backbone.12.conv.2,22.24408531188965,119.81983947753906,19.093826293945312,36
36,root.backbone.13.conv.0,19.093826293945312,901.3677978515625,21.166667938232422,37
37,root.backbone.13.conv.1,21.166667938232422,10.061149597167969,22.535062789916992,38
38,root.backbone.13.conv.2,22.535062789916992,144.01705932617188,15.640714645385742,39
39,root.backbone.14.conv.0,15.640714645385742,799.622314453125,28.458066940307617,40
40,root.backbone.14.conv.1,28.458066940307617,12.058042526245117,21.864151000976562,41
41,root.backbone.14.conv.2,21.864151000976562,375.45965576171875,25.62343406677246,42
42,root.backbone.15.conv.0,25.62343406677246,1331.255615234375,25.87275505065918,43
43,root.backbone.15.conv.1,25.87275505065918,15.120195388793945,21.488370895385742,44
44,root.backbone.15.conv.2,21.488370895385742,274.0862121582031,19.494632720947266,45
45,root.backbone.16.conv.0,19.494632720947266,917.4797973632812,24.306299209594727,46
46,root.backbone.16.conv.1,24.306299209594727,5.839314937591553,22.15798568725586,47
47,root.backbone.16.conv.2,22.15798568725586,194.74884033203125,15.42659854888916,48
48,root.backbone.17.conv.0,15.42659854888916,646.0209350585938,26.890859603881836,49
49,root.backbone.17.conv.1,26.890859603881836,6.385502815246582,21.34003257751465,50
50,root.backbone.17.conv.2,21.34003257751465,618.79443359375,25.50225830078125,51
51,root.expand.0,25.50225830078125,875.80029296875,29.182147979736328,52
52,root.expand.1,29.182147979736328,109.61878967285156,30.04452896118164,53
53,root.expand.2,30.04452896118164,179.09144592285156,0.0,0
